"Accession","4087_10_255_LT","4088_12_259","4089_24_270","4107_44_268_LT","4095_2_265","4096_15_260","4090_22_302","4091_23_282","4092_1_308","4093_3_316","4094_14_320","4108_42_297","4109_34_301","4110_18_311","4111_29_305","4112_35_321","4113_17_277","4114_21_267","4115_25_275","4116_20_286","4127_39_304_LT","4128_33_280","4129_31_314","4130_52_331","4131_47_251","4132_55_269","4133_51_258","4134_37_287","4135_45_303","4136_43_299","4147_64_330_LT","4148_62_324"
"A0A3Q1N9S5|A0A3Q1N9S5_BOVIN;A0A3Q1NEH2|A0A3Q1NEH2_BOVIN","14007.31278","9072.818838","16066.95738","6778.449136","42882.78936","44479.30692","29380.79379","22061.10033","29498.64494","23611.84147","20382.24324","14866.89722","15977.28594","18032.84828","15600.31377","10315.48863","20138.05513","36120.86364","10530.64005","5956.468278","6518.09361","14902.38286","11606.82646","20814.55066","0","22663.73237","17132.3827","19806.85334","14924.93636","17832.20264","18863.17548","13774.22431"
"Q2YDN4|CC105_BOVIN","591804.6783","682099.2928","719243.4657","617641.2876","696967.6175","649771.5781","713702.9179","1072101.72","786633.0903","585699.3091","469559.6968","538317.8401","574907.6295","667779.0491","490098.0746","430412.7962","543835.8354","576660.8686","509911.3636","457085.0146","509962.069","677610.4376","561085.5796","595746.3386","566727.2637","613972.2181","711302.1273","538537.0385","575740.2708","644200.9939","577927.3009","565018.6182"
"F1N4J7|F1N4J7_BOVIN","2606.654146","0","7243.247726","5574.301307","9090.177832","0","22327.69501","7180.001214","42475.76436","15444.14331","0","6000.693389","6396.421569","4467.21885","4140.19849","3192.636216","11235.70649","4028.047396","16769.86187","3549.802754","38403.70369","23846.4173","16118.26082","14307.41616","9442.305585","44948.17856","18799.25981","947.9351181","0","24875.23077","8949.534594","49156.54628"
"G3X778|G3X778_BOVIN","1744386.168","1736254.018","727059.2077","714951.4024","965155.0114","632964.5313","1056360.044","793068.0675","902908.7996","832523.0753","1753737.74","1667419.402","739870.5199","1603161.104","1685910.032","1524980.578","2030139.137","1163665.695","1099622.805","2084446.073","953818.8902","776278.4598","926506.3235","1721341.359","1200264.21","1155260.623","1117561.905","1459612.508","825649.3538","1164039.182","681752.2094","1322393.559"
"A0A3Q1M168|A0A3Q1M168_BOVIN","1183216.961","698831.3802","1109739.925","545184.6464","1266722.601","1454203.036","1301169.861","1286790.127","1698728.773","2079491.804","1937868.404","1613584.107","1239722.097","2024117.158","1630558.849","1591163.066","1965064.867","1515609.964","1598384.132","1562444.255","1235501.945","1901460.249","1293015.039","2101784.569","644863.8049","1555754.614","1788880.534","2053939.167","1892741.201","1299169.059","1013596.233","1191593.112"
"A0A3Q1MNC1|A0A3Q1MNC1_BOVIN;A0A3Q1MRN5|A0A3Q1MRN5_BOVIN;A0A3Q1M4A4|A0A3Q1M4A4_BOVIN","1563367.573","1208700.337","525174.65","493291.6844","1106994.078","481566.5704","996534.719","997034.0529","925250.6121","536919.1083","1650435.738","1027149.7","542229.1169","1674894.532","1099382.477","612956.2448","1894502.106","1080483.231","752679.044","1827043.582","1148673.742","526450.5388","871850.9743","1477264.325","816074.1707","1256741.938","900775.0472","649807.2819","553605.1891","1096496.776","469814.5666","823091.51"
"A0A3Q1MP70|A0A3Q1MP70_BOVIN","46496269.2","47723179.26","14580415.67","34128123.86","34073107.65","10316994.31","41404162.22","36274933.95","30826538.68","13639886.67","43653984.09","54201653.41","15346665.09","49707805.87","46418659.74","47976513.28","63010172.55","50215287.92","46021562.64","46839583.63","35004133.47","17711924.51","29507515.87","51212404.84","31737151.76","47975372.97","35226767.33","37994900.27","14514472.23","36057415.51","11571568.62","42286887.55"
"F6S1Q0|F6S1Q0_BOVIN","20038528.67","16169727.78","15437226.28","13840194.19","10163063.83","32935258.35","11473245.49","19107482.56","27595010.44","18463823.9","13708445.13","11173587.36","11044562.09","7027149.324","14136010.98","10324375.31","7378669.289","28685503.63","17410719.85","41050800.05","15401898.16","16207390.93","14249727.04","8461561.371","18137035.91","25354716.24","50968077.73","17834968.42","10790665.44","12369669.74","7348736.866","50053031.95"
"P34955|A1AT_BOVIN","1534261.189","781716.7374","358433.5575","430127.861","1065005.437","492600.3849","1026391.355","762480.0937","1081488.571","641212.4253","1016779.865","1837527.209","335606.2298","1546244.314","1636344.641","1360022.161","985831.6941","682574.9179","935636.1853","1463529.78","613692.4405","419002.0045","412131.1709","1221344.551","1060657.681","979356.3266","864369.7284","1374886.825","272424.5052","988967.665","732573.4928","542650.5069"
"A0A3Q1M3D7|A0A3Q1M3D7_BOVIN","159461.298","170994.208","126727.7546","197603.6814","220262.4107","130500.9239","103768.5103","289199.8602","145029.3214","106116.9446","112049.4601","140228.4404","128895.1221","94575.97319","134660.5073","106430.3968","98468.60308","120706.9339","95815.35023","78660.3604","114196.394","121422.4408","120668.1156","115309.1053","177317.5493","98906.39819","150950.1124","227919.0066","143636.168","149429.0884","81677.94754","65804.95706"
